"cannabis";3776;"smoked";"weed";"smoke";"bowl";"smoking";"cannabis";"joint";"pot";"marijuana";"hit";"stoned";"high";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"mushrooms";1654;"mushroom";"shrooms";"ate";"gram";"tripping";"shroom";"cubensis";"trip";"eating";"psilocybin";"tripped";"dried";"bag";"eighth";"sitting";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"salvia";1487;"salvia";"extract";"bong";"bowl";"divinorum";"pipe";"leaf";"hit";"packed";"smoke";"smoked";"exhaled";"holding";"second";"lighter";"plant";"loaded";"lung";"smoking";"lit";"gram";"trip";"inhaled";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alcohol";1222;"beer";"alcohol";"drinking";"drink";"drunk";"drank";"vodka";"bottle";"shot";"wine";"glass";"buzz";"don";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"mdma";1105;"mdma";"ecstasy";"pill";"rolling";"roll";"rolled";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lsd";1075;"acid";"lsd";"blotter";"tripping";"tab";"hit";"dropped";"looked";"trip";"drop";"tripped";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"unlinkable";715;"use";"used";"month";"your";"year";"week";"work";"ha";"ve";"don";"similar";"doe";"using";"will";"read";"may";"high";"drug";"cause";"many";"recently";"old";"these";"found";"say";"le";"long";"test";"well";"people";"without";"find";"pill";"also";"dose";"are";"you";"last";"any";"report";"new";"quite";"taking";"those";"most";"until";"during";"their";"dos";"stuff";"sleep";"might";"state";"noticed";"almost";"substance";"make";"since";"didn";"mg";"amount";"once";"sometimes";"however";"than";"body";"euphoria";"dosage";"short";"effect";"help";"see";"couple";"kind";"enough";"problem";"able";"anything";"two";"ago";"least";"end";"too";"either";"pretty";"mind";"three";"few";"better";"alcohol";"where";"life";"seems";"own";"such";"low";"both";"am";"strong";"normal"
"dxm";597;"dxm";"cough";"syrup";"robitussin";"robo";"bottle";"coricidin";"tussin";"cold";"mg";"trip";"pill";"drank";"strength";"maximum";"robotussin";"dose";"drug";"tripping";"dextromethorphan";"downed";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"tobacco";472;"cigarette";"tobacco";"smoke";"smoking";"smoked";"nicotine";"cig";"light";"hit";"pack";"smoker";"bowl";"lit";"rolled";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cocaine";458;"coke";"cocaine";"line";"snorted";"gram";"money";"crack";"snorting";"snort";"dealer";"nose";"cut";"blow";"high";"bag";"dollar";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"amphetamines";447;"adderall";"amphetamine";"pill";"speed";"xr";"dexedrine";"ritalin";"capsule";"medication";"bottle";"snorted";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"2ci";427;"2c";"2ci";"tripping";"mg";"trip";"substance";"dose";"capsule";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"morning_glory";425;"glory";"seed";"heavenly";"grinder";"lsa";"blue";"morning";"coffee";"extraction";"ground";"ate";"packet";"pack";"eating";"water";"powder";"grind";"eat";"store";"washed";"tripping";"liquid";"method";"chewed";"drank";"bought";"mixed";"untreated";"lsd";"trip";"gram";"filter";"package";"pearly";"pulp";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"nitrous";317;"nitrous";"balloon";"oxide";"whippet";"inhaled";"cartridge";"gas";"inhale";"oxygen";"cream";"breath";"cracker";"laughing";"whipped";"box";"canister";"deep";"inhaling";"tank";"hit";"filled";"charger";"whippits";"n2o";"whip";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"syrian_rue";310;"rue";"syrian";"mimosa";"harmala";"ayahuasca";"maoi";"seed";"hostilis";"dmt";"brew";"boiled";"juice";"bark";"peganum";"liquid";"ground";"gram";"boil";"tea";"added";"cup";"drank";"extract";"water";"grinder";"preparation";"coffee";"prepared";"root";"boiling";"strained";"plant";"harmaline";"drink";"mixture";"mao";"filtered";"extraction";"powder";"ingestion";"caapi";"trip";"teaspoon";"ingested";"dose";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"meth";302;"meth";"crystal";"methamphetamine";"speed";"line";"dealer";"money";"addict";"snorted";"bump";"snorting";"crank";"snort";"smoking";"smoked";"user";"gram";"smoke";"tweaking";"nose";"bag";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
